Зона|Провинция|Культура|Уровень технологий|Предшественник|Процессы|Операции|Номер Операции|Технологические параметры|Сроки|Техника
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Уход за посевами|Боронование посевов|184|При появлении всходов однолетних и зимующих сорняков.|В фазу 3-4 листьев (осенью) и весной при подсыхании почвы|Бороны зубовые средние
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Уход за посевами||185|||
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|186|Опрыскивание посевов баковой смесью пестицидов. 1. С осени – применение средств защиты растений (гербициды, инсектициды и фунгициды) – Тандем, ВДГ 0,25 кг/га + Данадим Эксперт, КЭ 1 л/га + Импакт Эксклюзив, КС 0,5 кг/га; |Осенью в фазу кущения растений;|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|187|Опрыскивание посевов баковой смесью пестицидов. 2. Весной (фаза GS 21 - 22)– инсектицид Данадим Пауер, КЭ 1 л/га + фунгицид Импакт Супер 0,75 л/га |Весной в фазу кущения – начала трубкования;|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|188|Опрыскивание посевов баковой смесью пестицидов. 3. Фаза начала трубкования (фаза GS 31-32) - ретардант Сапресс, КЭ 0,3 л/га + гербицид Фокстрот, ВЭ 1,0 л/га (при наличии мятликовых сорняков) + фунгициды Импакт Супер 0,75 л/га + Данадим Пауер 0,6 л/га (при прогнозе массового развития болезней и вредителей);|В фазу начала колошения при прогнозе массового развития болезней и вредителей.|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|189|Опрыскивание посевов баковой смесью пестицидов. 4. Защита колоса при прогнозе массового развития болезней и вредителей – фунгицид Консул, КС 1,0 л/га + инсектицид Вантекс, МКС 60 мл/га.|В фазу начала колошения при прогнозе массового развития болезней и вредителей.|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Уход за посевами|Подкормки азотными удобрениями|190|N60 + N30 |В фазу весеннего кущения и в фазу выхода в трубку|Агрегаты для растаривания и измельчения минеральных удобрений; Погрузчики; Разбрасыватели туков 
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Уборка урожая|Обкашивание полей|191|Восковая спелость|За 10 дней до начала основной уборки|Комбайны
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Уборка урожая|Прямое комбайнирование|192|При влажности зерна 18%||Комбайны
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Уборка урожая|Раздельная уборка:|193|При засорённом хлебостое, влажности зерна 22-24%||Жатки валковые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Уборка урожая|скашивание в валки|194|||
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Уборка урожая|Подбор валков|195|Влажность зерна не более 14-15%.|Через 3-5 дней после скашивания|Комбайны с подборщиками
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Послеуборочная обработка зерна|Взвешивание|196|||Весы автомобильные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Послеуборочная обработка зерна|Предварительная очистка|197|Очистка от первичных примесей||Машины предварительной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Послеуборочная обработка зерна|Сушка зерна|198|||Сушилки стационарные, передвижные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Послеуборочная обработка зерна|Первичная очистка|199|Доведение зерна до кондиционных параметров по содержанию посторонних включений||Машины первичной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Послеуборочная обработка зерна|Подготовка семян|200|Доведение семян до кондиционных параметров согласно требованиям ГОСТ Р 52325-2005г на семена||Приставки семяочистительные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Послеуборочная обработка зерна|Проверка качества зерна|201||При закладке на хранение|Лабораторное оборудование
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Интенсивный||Послеуборочная обработка зерна|Загрузка и транспортировка зерна на хранение в склад или элеватор|202||После очистки|Зернопогрузчики, автомобили
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный|{Занятый пар вико-овсяный, Занятый пар горохо-овсяный, Занятый пар сидеральный, ранние пропашные}|Обработка почвы|Поверхностная обработка дискованием|203|В 1 -2 следа на 8-10 см|Вслед за уборкой предшественника|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный|{Занятый пар вико-овсяный, Занятый пар горохо-овсяный, Занятый пар сидеральный, ранние пропашные}|Обработка почвы|Культивация с боронованием|204|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный|{Занятый пар вико-овсяный, Занятый пар горохо-овсяный, Занятый пар сидеральный, ранние пропашные}|Обработка почвы|Предпосевная обработка|205|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Поверхностная обработка дискованием|206|На 8-10 см в 2 следа (до черна)|После первого укоса многолетних трав|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Вспашка|207|На глубину 20-22 см (с полной заделкой растительных остатков)|Через 8-10 дней после дискования |Отвальные плуги
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Культивация с боронованием|208|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный|{Многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|Обработка почвы|Предпосевная обработка|209|На глубину посева|Перед посевом|Комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Основное внесение удобрений|Известкование|210|2-5 тонн извести на га, в зависимости от кислотности почвы (доза в т/га рассчитывается по гидролитической кислотности), с обязательной заделкой в системе основной обработки почвы, включающей лущение или дискование с последующей вспашкой на 20-25 см.|Осенью при основной обработке почвы под паро-занимающую культуру или после первого укоса многолетних трав|Спецмашины по разбрасыванию извести
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Основное внесение удобрений|Внесение органических удобрений|211|Перепревший навоз, торфонавозный компост, сидерат и др. виды органических удобрений из расчета 5-10 т/га севооборотной площади, с обязательной заделкой в системе основной обработки почвы, включающей лущение или дискование с последующей вспашкой на 20-25 см.|Осенью при основной обработке почвы под паро-занимающую культуру или после первого укоса многолетних трав|Машины для внесения органических удобрений
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Основное внесение удобрений|Основное внесение минеральных удобрений|212|Дифференцированное внесение в зависимости от содержания в почве доступных форм основных элементов питания: N15P105K105 - разбросным способом под основную обработку почвы или под культивацию; N15P15 K15 - в рядки при посеве|N15P105K105 - разбросным способом под основную обработку почвы или под культивацию; N15P15 K15 - в рядки при посеве|"Агрегаты для растаривания и измельчения минеральных удобрений
Погрузчики
Разбрасыватели туков
Сеялки с устройствами для внесения удобрений"
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Подготовка семян к посеву|Воздушно-тепловой обогрев|213|3-5 дн. на солнце или в сушилке при t45°C 2-3 часа |Перед посевом|Оборудование для теплового обогрева
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Подготовка семян к посеву|Инкрустирование семян оболочкой с наполнителями (фунгициды и инсектициды)|214|На 1 т семян: вода + прилипатель + протравитель (Винцит Форте 1,25 л/т + Пикус 1,0 л/т). Расход раб.жидкости – 10 л/т.|Перед посевом. Свежеубранные семена не позднее 2-3 дней; из переходящего фонда - за 2-3 недели до посева|Оборудование для инкрустирования и протравливания семян
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Посев|Загрузка семян в транспортные средства|215||Перед посевом|Зернопогрузчики
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Посев|Транспортировка|216|||
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Посев|Посев|217|Посев с одновременным внесением стартовой дозы удобрений и с оставлением технологической колеи. Оставлять незасеянные рядки семян шириной колеи до 60 см и кратной за­хвату агрегата по уходу за посевами. Обычный посев, рядовой, узкорядный. Глубина посева семян (зависит от влажности почвы и механического состава) - на влажной суглинистой 3-4 см, на сухой песчаной - 5-6см. Норма высева: 4-5 млн. всх. зерен на га (в зависимости от способа посева, плодородия почвы)| При среднесуточной температуре не выше 16-18 оС в течение 3 суток. Среднестатистические календарные сроки 25 августа – 15 сентября|Зернотуковые сеялки или комбинированные посевные агрегаты с предпосевной обработкой почвы
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Уход за посевами|Боронование посевов|218|При появлении всходов однолетних и зимующих сорняков.|В фазу 3-4 листьев (осенью) и весной при подсыхании почвы|Бороны зубовые средние
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|219|Опрыскивание посевов баковой смесью пестицидов. 1. С осени – гербициды Атон, ВДГ 0,06 кг/га + инсектицид Данадим Пауер, КЭ 0,6 л/га + фунгицид Импакт Эксклюзив, КС 0,5 л/га + ретардант Сапресс, КЭ 0,3 л/га;|Осенью в фазу кущения растений;|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|220|Опрыскивание посевов баковой смесью пестицидов. 2. Весной (фаза GS 21 - 22) – инсектициды Данадим Пауер, КЭ 0,6 л/га + Вантекс 60 мл/га + фунгицид Альто Супер, КЭ 0,5 л/га + гербициды Фокстрот, ВЭ 1,0 л/га и Агроксон 0,5 л/га.|Весной в фазу кущения – начала трубкования;|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|221|Опрыскивание посевов баковой смесью пестицидов. 3. В начале трубкования (фаза GS 31-32) - ретардант Сапресс, КЭ 0,3 л/га + фунгицид Консул 0,8 л/га + инсектицид Данадим Пауер 0,6 л/га (при массовом развитии вредителей и эпифитотийном развитии болезней).|В фазу начала колошения по прогнозу развития болезней и вредителей.|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|222|Опрыскивание посевов баковой смесью пестицидов. 4. Для защиты флагового листа и колоса – Консул, КС 1,0 л/га + Вантекс, МКС 60 мл/га |В фазу начала колошения по прогнозу развития болезней и вредителей.|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Уход за посевами|Подкормки азотными удобрениями|223|Дифференцированное внесение по результатам листовой диагностики: в среднем  N60 весной в кущение, |В фазы: весеннего кущения, |"Агрегаты для растаривания и измельчения минеральных удобрений
Погрузчики
Разбрасыватели туков
Штанговые опрыскиватели для внесения жидких удобрений
"
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Уход за посевами|Подкормки азотными удобрениями|224|Дифференцированное внесение по результатам листовой диагностики: в среднем  N30 в фазу выхода в трубку, |В фазы:  выхода в трубку, |"Агрегаты для растаривания и измельчения минеральных удобрений
Погрузчики
Разбрасыватели туков
Штанговые опрыскиватели для внесения жидких удобрений
"
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Уход за посевами|Подкормки азотными удобрениями|225|Дифференцированное внесение по результатам листовой диагностики: в среднем  N30 – в колошение - цветение (для повышения качества зерна рекомендуется проводить внекорневую подкормку 15-20 % раствором мочевины).|В фазы: колошения|"Агрегаты для растаривания и измельчения минеральных удобрений
Погрузчики
Разбрасыватели туков
Штанговые опрыскиватели для внесения жидких удобрений
"
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Уход за посевами|Внекорневые обработки|226|1. Обработка в фазу кущения – начала трубкования жидкими комплексными удобрениями ЖКУ APALIQVA NP 11:37 30 кг/га + растворами микроудобрений с гуматом калия + биологические стимуляторы роста + микробиологические препараты фунгицидного действия Метабактерин, СП 12 г/га или АпаСил 100 г/га.|в фазу кущения – начала трубкования|Штанговые опрыскиватели для внесения жидких удобрений
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Уборка урожая|Обкашивание полей|227|Восковая спелость|За 10 дней до начала основной уборки|Комбайны с датчиками урожайности и системами позиционирования
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Уборка урожая|Прямое комбайнирование|228|При влажности зерна 16%||Комбайны с датчиками урожайности и системами позиционирования
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Послеуборочная обработка зерна|Взвешивание|229|||Весы автомобильные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Послеуборочная обработка зерна|Предварительная очистка|230|Очистка от первичных примесей|| Семяочистительные комплексы 5-го поколения
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Послеуборочная обработка зерна|Сушка зерна|231||| Семяочистительные комплексы 5-го поколения
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Послеуборочная обработка зерна|Первичная очистка|232|Доведение зерна до кондиционных параметров по содержанию посторонних включений|| Семяочистительные комплексы 5-го поколения
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Послеуборочная обработка зерна|Подготовка семян|233|Доведение семян до кондиционных параметров согласно требованиям ГОСТ Р 52325-2005г на семена|| Семяочистительные комплексы 5-го поколения
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Послеуборочная обработка зерна|Проверка качества зерна|234||При закладке на хранение|Лабораторное оборудование
Южно-таежно-лесная зона|Среднерусская провинция|Озимая рожь|Точный||Послеуборочная обработка зерна|Загрузка и транспортировка зерна на хранение или элеватор|235||После очистки|Зернопогрузчики, автомобили
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный|{Зерновые и зернобобовые сплошного сева}|Обработка почвы|Лущение|236|На 6-8см в 1 -2 следа|Вслед за уборкой предшественника|Лущильники лемешные или дисковые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный|{Зерновые и зернобобовые сплошного сева}|Обработка почвы|Вспашка|237|На 20-22см с полной заделкой растительных остатков|Через 8-10 дней после лущения|Отвальные плуги
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный|{Зерновые и зернобобовые сплошного сева}|Обработка почвы|Культивация с боронованием|238|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный|{Зерновые и зернобобовые сплошного сева}|Обработка почвы|Предпосевная обработка|239|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Дискование|240|На 8-10 см в 2 следа (до черна)|После первого укоса многолетних трав|Бороны тяжелые дисковые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Вспашка|241|На глубину 20-22 см (с полной заделкой растительных остатков)|Через 8-10 дней после дискования |Отвальные плуги
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Культивация с боронованием|242|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Предпосевная обработка|243|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Поверхностная обработка дискованием|244|В 1 -2 следа на 8-10 см|Вслед за уборкой предшественника|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные}|Обработка почвы|Культивация с боронованием|245|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные}|Обработка почвы|Предпосевная обработка|246|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный||Посев|Загрузка семян в транспортные средства|247||Перед посевом|Зернопогрузчики
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный||Посев|Транспортировка|248|||
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный||Посев|Посев|249|Обычный посев, рядовой, узкорядный. Глубина посева семян (зависит от влажности почвы и механического состава) - на влажной суглинистой 3-4 см, на сухой песчаной - 5-6см. Норма высева: 4-5 млн. всх. зерен на га (в зависимости от способа посева, плодородия |При среднесуточной температуре не выше 16-18 оС в течение 3 суток. Среднестатистические календарные сроки 25 августа – 15 сентября|Сеялки зерновые и зернотуковые, рядовые и узкорядные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный||Уход за посевами|Боронование посевов|250|При появлении всходов однолетних и зимующих сорняков.|В фазу 3-4 листьев (осенью) и весной при подсыхании почвы|Бороны зубовые средние
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный||Уборка |Прямое комбайнирование|251|При влажности зерна 20 %||Комбайны
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный||Уборка |Раздельная уборка: скашивание в валки|252|При засорённом хлебостое, влажности зерна 24-26%||Жатки валковые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный||Уборка |Подбор валков|253|Влажность зерна не более 14-15%.|Через 3-5 дней после скашивания|Комбайны с подборщиками
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный||Послеуборочная обработка зерна|Взвешивание|254|||Весы автомобильные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный||Послеуборочная обработка зерна|Предварительная очистка|255|Очистка от первичных примесей||Машины предварительной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный||Послеуборочная обработка зерна|Сушка зерна|256|||Сушилки стационарные, передвижные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный||Послеуборочная обработка зерна|Первичная очистка|257|Доведение зерна до кондиционных параметров по содержанию посторонних включений||Машины первичной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный||Послеуборочная обработка зерна|Проверка качества зерна|258| |При закладке на хранение|Лабораторное оборудование
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Экстенсивный||Послеуборочная обработка зерна|Загрузка и транспортировка зерна на хранение или элеватор|259||После очистки|Зернопогрузчики, автомобили
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные, зернобобовые}|Обработка почвы|Поверхностная обработка дискованием|260|В 1 -2 следа на 8-10 см|Вслед за уборкой предшественника|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные, зернобобовые}|Обработка почвы|Культивация с боронованием|261|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные, зернобобовые}|Обработка почвы|Предпосевная обработка|262|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Поверхностная обработка дискованием|263|На 8-10 см в 2 следа (до черна)|После первого укоса многолетних трав|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Вспашка|264|На глубину 20-22 см (с полной заделкой растительных остатков)|Через 8-10 дней после дискования |Отвальные плуги
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Культивация с боронованием|265|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Предпосевная обработка|266|На глубину посева|Перед посевом|Комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Основное внесение удобрений|Внесение органических удобрений|267|в дозе 5-10 т/га севооборотной площади|После уборки предшественника под вспашку|Машины для внесения органических удобрений
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Основное внесение удобрений|Внесение мине­ральных удобрений|268|N30P60K60|Фосфорные и калийные под основную обработку. Азотные под предпосевную обработку или совместно с посевом|"Агрегаты для растаривания и измельчения минеральных удобрений
Погрузчики
Разбрасыватели туков
Сеялки с устройствами для внесения удобрений"
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Подготовка семян к посеву|Простое протравливание|269| Фунгицидные протравители: Винцит Форте 1,5 л/т|Свежеубранные семена не позднее 2-3 дней до посева|Оборудование для  протравливания семян
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Посев|Загрузка семян в транспортные средства|270||Перед посевом|Зернопогрузчики
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Посев|Транспортировка|271|||
Южно-таежно-лесная зона|Среднерусская провинция|Озимая тритикале|Нормальный||Посев|Посев|272|Обычный посев, рядовой, узкорядный. Глубина посева семян (зависит от влажности почвы и механического состава) - на влажной суглинистой 3-4 см, на сухой песчаной - 5-6см. Норма высева: 4-5 млн. всх. зерен на га (в зависимости от способа посева, плодородия |При среднесуточной температуре не выше 16-18 оС в течение 3 суток. Среднестатистические календарные сроки 25 августа – 15 сентября|Сеялки зерновые и зернотуковые рядовые и узкорядные
