Место|Зона|Провинция|Регионы|Культура|Уровень технологий|Реализация потенциала сорта|Производительность труда|Гарантированная урожайность|Себестоимость|Тип основной продукции|Назначение основной продукции|Тип побочной продукции|Назанчение побочной продукции|Показатели качества. ГОСТ|Показатели качества. Максимальное содрежание клейковины|Показатели качества. Натура|Показатели качества. Максимальная влажность|Способ реализации|Уровень спроса на рынке|Агроэкологические виды земель|Предшественники|Рекомендуемые сорта|Подготовка семян|Минеральные удобрения. Тип|Минеральные удобрения. Количество|Пестициды (протравители). Тип|Пестициды (протравители). Количество|Гебициды. Тип|Гебициды. Количество|Фунгицыды. Тип|Фунгицыды. Количество|Инсектициды. Тип|Инсектициды. Количество|Ретардант . Тип|Ретардант . Количество|Известкование|Органические удобрения. Тип|Органические удобрения. Количество
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровой ячмень|Интенсивный|65%|5 чел-час/т|4,8 т/га|5630 руб/т|зерно|хлебопекарная промашленность, перерабокта на крупу, пивоварение, корм|полова, солома, отруби|корм|ГОСТ: 16470-84 “Ячмень. Требования при заготовках. ТУ”||||насыпью; в мешках|высокий|{1.1, 1.2, 1.3,1.4}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Нур,Надёжный, Златояр }|ГОСТ Р52325-2005|N|120|Винцит Форте|1,25 л/т |Линтур ВДГ |150 г/га|Консул, КС |0,8 л/га|Вантекс, МКС |0,06 л/га|Перфект КЭ |0,4 л/га|2-5 т/га|перепревший навоз|5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровой ячмень|Интенсивный|65%|5 чел-час/т|4,8 т/га|5630 руб/т|зерно|хлебопекарная промашленность, перерабокта на крупу, пивоварение, корм|полова, солома, отруби|корм|ГОСТ: 16470-84 “Ячмень. Требования при заготовках. ТУ”||||насыпью; в мешках|высокий|{1.1, 1.2, 1.3,1.4}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Нур,Надёжный, Златояр }|ГОСТ Р52325-2005|P|90|Пикус |1,0 л/т|Фокстрот, ВЭ |1,0 л/га|Альто Супер|0,5 л/га|Данадим, КЭ |1 л/га||||торфо-навозный компост |5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровой ячмень|Интенсивный|65%|5 чел-час/т|4,8 т/га|5630 руб/т|зерно|хлебопекарная промашленность, перерабокта на крупу, пивоварение, корм|полова, солома, отруби|корм|ГОСТ: 16470-84 “Ячмень. Требования при заготовках. ТУ”||||насыпью; в мешках|высокий|{1.1, 1.2, 1.3,1.4}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Нур,Надёжный, Златояр }|ГОСТ Р52325-2005|K|90|Перфект |4 л/т|Агроксон |0,5 л/га|Импакт Супер |0,75 л/га |Данадим Эксклюзив, КЭ |0,3 л/га||||сидераты|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровой ячмень|Интенсивный|65%|5 чел-час/т|4,8 т/га|5630 руб/т|зерно|хлебопекарная промашленность, перерабокта на крупу, пивоварение, корм|полова, солома, отруби|корм|ГОСТ: 16470-84 “Ячмень. Требования при заготовках. ТУ”||||насыпью; в мешках|высокий|{1.1, 1.2, 1.3,1.4}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Нур,Надёжный, Златояр }|ГОСТ Р52325-2005||||||||||||||пласт многолетних трав|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровой ячмень|Интенсивный|65%|5 чел-час/т|4,8 т/га|5630 руб/т|зерно|хлебопекарная промашленность, перерабокта на крупу, пивоварение, корм|полова, солома, отруби|корм|ГОСТ: 16470-84 “Ячмень. Требования при заготовках. ТУ”||||насыпью; в мешках|высокий|{1.1, 1.2, 1.3,1.4}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Нур,Надёжный, Златояр }|ГОСТ Р52325-2005||||||||||||||измельченная солома|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровой ячмень|Точный|85%|4 чел-час/т|6,8 т/га|4710 руб/т|зерно|хлебопекарная промашленность, перерабокта на крупу, пивоварение, корм|полова, солома, отруби|корм|ГОСТ: 16470-84 “Ячмень. Требования при заготовках. ТУ”, ГОСТ 5060-86 “Ячмень пивоваренный. ТУ”, ГОСТ 25344-82 “Ячмень кормовой. ТУ”.||||насыпью; в мешках|высокий|{1.1, 1.2, 1.3 }|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Надёжный, Златояр }|ГОСТ Р52325-2005|N|150|Винцит Форте|1,25 л/т |Линтур ВДГ |150 г/га|Импакт,  КС |0,5 кг/га|Вантекс, МКС |0,06 л/га|Перфект КЭ |0,4 л/га|2-5 т/га|перепревший навоз|5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровой ячмень|Точный|85%|4 чел-час/т|6,8 т/га|4710 руб/т|зерно|хлебопекарная промашленность, перерабокта на крупу, пивоварение, корм|полова, солома, отруби|корм|ГОСТ: 16470-84 “Ячмень. Требования при заготовках. ТУ”, ГОСТ 5060-86 “Ячмень пивоваренный. ТУ”, ГОСТ 25344-82 “Ячмень кормовой. ТУ”.||||насыпью; в мешках|высокий|{1.1, 1.2, 1.3 }|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Надёжный, Златояр }|ГОСТ Р52325-2005|P|120|Пикус |1,0 л/т|Фокстрот, ВЭ |1,0 л/га|Альто Супер, КЭ |0,5 л/га|Данадим, КЭ |1 л/га||||торфо-навозный компост |5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровой ячмень|Точный|85%|4 чел-час/т|6,8 т/га|4710 руб/т|зерно|хлебопекарная промашленность, перерабокта на крупу, пивоварение, корм|полова, солома, отруби|корм|ГОСТ: 16470-84 “Ячмень. Требования при заготовках. ТУ”, ГОСТ 5060-86 “Ячмень пивоваренный. ТУ”, ГОСТ 25344-82 “Ячмень кормовой. ТУ”.||||насыпью; в мешках|высокий|{1.1, 1.2, 1.3 }|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Надёжный, Златояр }|ГОСТ Р52325-2005|K|120|Перфект |4 л/т|Агроксон |0,5 л/га|Импакт Супер, КС |0,75 кг/га|Данадим Эксклюзив, КЭ |0,3 л/га||||сидераты|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровой ячмень|Точный|85%|4 чел-час/т|6,8 т/га|4710 руб/т|зерно|хлебопекарная промашленность, перерабокта на крупу, пивоварение, корм|полова, солома, отруби|корм|ГОСТ: 16470-84 “Ячмень. Требования при заготовках. ТУ”, ГОСТ 5060-86 “Ячмень пивоваренный. ТУ”, ГОСТ 25344-82 “Ячмень кормовой. ТУ”.||||насыпью; в мешках|высокий|{1.1, 1.2, 1.3 }|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Надёжный, Златояр }|ГОСТ Р52325-2005||||||||||||||пласт многолетних трав|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Яровой ячмень|Точный|85%|4 чел-час/т|6,8 т/га|4710 руб/т|зерно|хлебопекарная промашленность, перерабокта на крупу, пивоварение, корм|полова, солома, отруби|корм|ГОСТ: 16470-84 “Ячмень. Требования при заготовках. ТУ”, ГОСТ 5060-86 “Ячмень пивоваренный. ТУ”, ГОСТ 25344-82 “Ячмень кормовой. ТУ”.||||насыпью; в мешках|высокий|{1.1, 1.2, 1.3 }|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Надёжный, Златояр }|ГОСТ Р52325-2005||||||||||||||измельченная солома|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Овес|Экстенсивный|30%|9 чел-час/т|2,2 т/га|5500 руб/т|зерно|Корм, семена|полова, солома, отруби|корм|ГОСТ: 28673 “Овес. Требования при заготовках и поставках. ТУ||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 3.1, 3.2, 3.3, 3.4, 5.1, 5.2}|{зерновые, зернобобовые и другие культуры сплошного сева, многолетние травы, пропашные}|{Лев, Буланый}|ГОСТ Р52325-2005|||||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Овес|Нормальный|50%|7 чел-час/т|3,1 т/га|7100 руб/т|зерно|Хлебопекарная промашленность, кондитерская промашленность, крупа, корм|полова, солома, отруби|корм|ГОСТ: 28673 “Овес. Требования при заготовках и поставках. ТУ||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 3.1, 3.2, 3.3, 3.4}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, многолетние травы, пропашные}|{Буланый,Яков}|ГОСТ Р52325-2005|N|90|Винцит Форте |1,5 л/т|Линтур ВДГ|180 г/га|Импакт Эксклюзив, КС |0,5 л/га|Данадим Пауэр КЭ, |1,0 л/га|||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Овес|Нормальный|50%|7 чел-час/т|3,1 т/га|7100 руб/т|зерно|Хлебопекарная промашленность, кондитерская промашленность, крупа, корм|полова, солома, отруби|корм|ГОСТ: 28673 “Овес. Требования при заготовках и поставках. ТУ||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 3.1, 3.2, 3.3, 3.4}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, многолетние травы, пропашные}|{Буланый,Яков}|ГОСТ Р52325-2005|P|60|||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Овес|Нормальный|50%|7 чел-час/т|3,1 т/га|7100 руб/т|зерно|Хлебопекарная промашленность, кондитерская промашленность, крупа, корм|полова, солома, отруби|корм|ГОСТ: 28673 “Овес. Требования при заготовках и поставках. ТУ||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 3.1, 3.2, 3.3, 3.4}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, многолетние травы, пропашные}|{Буланый,Яков}|ГОСТ Р52325-2005|K|60|||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Овес|Интенсивный|65%|5 чел-час/т|4,3 т/га|6280 руб/т|зерно|Хлебопекарная промашленность, кондитерская промашленность, крупа, диетическое питание, корм|полова, солома, отруби|корм|ГОСТ: 28673 “Овес. Требования при заготовках и поставках. ТУ||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5. 2.6}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Яков, Залп}|ГОСТ Р52325-2005|N|120|Винцит Форте|1,25 л/т |Линтур ВДГ |150 г/га|Консул, КС |0,8 л/га|Вантекс, МКС |0,06 л/га|Перфект КЭ |0,4 л/га|2-5 т/га|перепревший навоз|5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Овес|Интенсивный|65%|5 чел-час/т|4,3 т/га|6280 руб/т|зерно|Хлебопекарная промашленность, кондитерская промашленность, крупа, диетическое питание, корм|полова, солома, отруби|корм|ГОСТ: 28673 “Овес. Требования при заготовках и поставках. ТУ||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5. 2.6}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Яков, Залп}|ГОСТ Р52325-2005|P|90|Пикус |1,0 л/т|Фокстрот, ВЭ |1,0 л/га|Альто Супер|0,5 л/га|Данадим, КЭ |1 л/га||||торфо-навозный компост |5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Овес|Интенсивный|65%|5 чел-час/т|4,3 т/га|6280 руб/т|зерно|Хлебопекарная промашленность, кондитерская промашленность, крупа, диетическое питание, корм|полова, солома, отруби|корм|ГОСТ: 28673 “Овес. Требования при заготовках и поставках. ТУ||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5. 2.6}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Яков, Залп}|ГОСТ Р52325-2005|K|90|Перфект |4 л/т|Агроксон |0,5 л/га|Импакт Супер |0,75 л/га |Данадим Эксклюзив, КЭ |0,3 л/га||||сидераты|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Овес|Интенсивный|65%|5 чел-час/т|4,3 т/га|6280 руб/т|зерно|Хлебопекарная промашленность, кондитерская промашленность, крупа, диетическое питание, корм|полова, солома, отруби|корм|ГОСТ: 28673 “Овес. Требования при заготовках и поставках. ТУ||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5. 2.6}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Яков, Залп}|ГОСТ Р52325-2005||||||||||||||пласт многолетних трав|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Овес|Интенсивный|65%|5 чел-час/т|4,3 т/га|6280 руб/т|зерно|Хлебопекарная промашленность, кондитерская промашленность, крупа, диетическое питание, корм|полова, солома, отруби|корм|ГОСТ: 28673 “Овес. Требования при заготовках и поставках. ТУ||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8, 2.1, 2.2, 2.3, 2.4, 2.5. 2.6}|{Озимые зерновые, зернобобовые и другие культуры сплошного сева, пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Яков, Залп}|ГОСТ Р52325-2005||||||||||||||измельченная солома|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Овес|Точный|85%|4 чел-час/т|6,8 т/га|4710 руб/т|зерно|Хлебопекарная промашленность, кондитерская промашленность, крупа, диетическое питание, корм|полова, солома, отруби|корм|ГОСТ: 28673 “Овес. Требования при заготовках и поставках. ТУ||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Яков, Залп,Немчиновский 61}|ГОСТ Р52325-2005|N|150|Винцит Форте|1,25 л/т |Линтур ВДГ |150 г/га|Импакт,  КС |0,5 кг/га|Вантекс, МКС |0,06 л/га|Перфект КЭ |0,4 л/га|2-5 т/га|перепревший навоз|5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Овес|Точный|85%|4 чел-час/т|6,8 т/га|4710 руб/т|зерно|Хлебопекарная промашленность, кондитерская промашленность, крупа, диетическое питание, корм|полова, солома, отруби|корм|ГОСТ: 28673 “Овес. Требования при заготовках и поставках. ТУ||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Яков, Залп,Немчиновский 61}|ГОСТ Р52325-2005|P|120|Пикус |1,0 л/т|Фокстрот, ВЭ |1,0 л/га|Альто Супер, КЭ |0,5 л/га|Данадим, КЭ |1 л/га||||торфо-навозный компост |5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Овес|Точный|85%|4 чел-час/т|6,8 т/га|4710 руб/т|зерно|Хлебопекарная промашленность, кондитерская промашленность, крупа, диетическое питание, корм|полова, солома, отруби|корм|ГОСТ: 28673 “Овес. Требования при заготовках и поставках. ТУ||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Яков, Залп,Немчиновский 61}|ГОСТ Р52325-2005|K|120|Перфект |4 л/т|Агроксон |0,5 л/га|Импакт Супер, КС |0,75 кг/га|Данадим Эксклюзив, КЭ |0,3 л/га||||сидераты|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Овес|Точный|85%|4 чел-час/т|6,8 т/га|4710 руб/т|зерно|Хлебопекарная промашленность, кондитерская промашленность, крупа, диетическое питание, корм|полова, солома, отруби|корм|ГОСТ: 28673 “Овес. Требования при заготовках и поставках. ТУ||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Яков, Залп,Немчиновский 61}|ГОСТ Р52325-2005||||||||||||||пласт многолетних трав|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Овес|Точный|85%|4 чел-час/т|6,8 т/га|4710 руб/т|зерно|Хлебопекарная промашленность, кондитерская промашленность, крупа, диетическое питание, корм|полова, солома, отруби|корм|ГОСТ: 28673 “Овес. Требования при заготовках и поставках. ТУ||||насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7, 1.8}|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Яков, Залп,Немчиновский 61}|ГОСТ Р52325-2005||||||||||||||измельченная солома|
